,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,10/16/2001,4.64,4.71,4.4,4.55,23300
JASA,10/17/2001,4.55,4.6,4.5,4.6,30600
JASA,10/18/2001,4.65,4.65,4.51,4.55,4000
JASA,10/19/2001,4.6,4.6,4.4,4.5,7800
JASA,10/22/2001,4.5,4.5,4.43,4.45,7600
JASA,10/23/2001,4.45,4.65,4.4,4.65,6400
JASA,10/24/2001,4.65,4.75,4.5,4.63,31700
JASA,10/25/2001,4.65,4.73,4.65,4.7,4800
JASA,10/26/2001,4.72,4.78,4.68,4.7,13300
JASA,10/29/2001,4.65,4.735,4.65,4.7,5100
JASA,10/30/2001,4.65,4.69,4.45,4.62,158700
JASA,10/31/2001,4.61,4.65,4.61,4.62,2700
JASA,11/01/2001,4.62,4.69,4.62,4.69,10500
JASA,11/02/2001,4.69,4.69,4.61,4.63,9400
JASA,11/05/2001,4.65,4.72,4.65,4.69,7100
JASA,11/06/2001,4.63,4.69,4.52,4.69,34800
JASA,11/07/2001,4.65,4.74,4.65,4.74,18200
JASA,11/08/2001,4.84,5.09,4.84,5.07,21800
JASA,11/09/2001,5.05,5.09,4.98,5,12000
JASA,11/12/2001,5,5.1,5,5.1,12300
JASA,11/13/2001,5.2,5.3,5.1,5.18,20500
JASA,11/14/2001,5.2,5.2,4.98,5.08,20300
JASA,11/15/2001,5.1,5.35,5.1,5.35,24000
JASA,11/16/2001,5.37,5.39,5.3,5.34,11900
JASA,11/19/2001,5.35,5.65,5.35,5.6,22100
JASA,11/20/2001,5.68,5.8,5.68,5.8,21300
JASA,11/21/2001,5.95,6.1,5.95,6.09,30000
JASA,11/23/2001,6.19,6.99,6.19,6.95,89000
JASA,11/26/2001,7,7.15,7,7.06,86400
JASA,11/27/2001,7.07,7.15,7,7.09,23600
JASA,11/28/2001,7,7.05,6.98,7.05,18500
JASA,11/29/2001,6.95,6.95,6.2,6.5,57300
JASA,11/30/2001,6.4,6.8,6.37,6.8,25800
JASA,12/03/2001,6.7,6.84,6.56,6.8,65600
JASA,12/04/2001,6.75,6.75,6.57,6.67,25400
JASA,12/05/2001,6.6,6.9,6.6,6.85,11600
JASA,12/06/2001,6.85,7.08,6.85,7.05,84800
JASA,12/07/2001,7.1,7.15,6.97,7,23800
JASA,12/10/2001,7,7.19,7,7.09,39100
JASA,12/11/2001,7.04,7.15,6.9,6.99,20200
JASA,12/12/2001,7,7.01,6.75,6.85,9900
JASA,12/13/2001,6.9,6.9,6.7,6.7,5800
JASA,12/14/2001,6.65,6.85,6.65,6.85,7700
JASA,12/17/2001,6.85,6.95,6.72,6.8,12900
JASA,12/18/2001,6.9,7,6.9,6.99,7500
JASA,12/19/2001,7,7,6.95,7,50900
JASA,12/20/2001,6.99,7.15,6.95,7.05,37600
JASA,12/21/2001,7.05,7.1,6.99,7.03,58500
JASA,12/24/2001,7.13,7.15,7.06,7.06,5600
JASA,12/26/2001,7,7.03,6.95,7,25700
JASA,12/27/2001,7,7.1,6.96,7.1,21400
JASA,12/28/2001,7.1,7.1,7,7.02,18400
JASA,12/31/2001,6.96,7.15,6.96,7.15,21100
JASA,01/02/2002,7.15,7.65,7.15,7.65,41600
JASA,01/03/2002,7.65,7.75,7.45,7.75,57900
JASA,01/04/2002,7.85,8.1,7.71,8.05,49100
JASA,01/07/2002,8.05,8.24,8,8.15,48400
JASA,01/08/2002,8.2,8.49,8.2,8.37,32300
JASA,01/09/2002,8.45,8.59,8.43,8.5,18500
JASA,01/10/2002,8.6,9.5,8.6,9.22,59200
JASA,01/11/2002,9.7,9.78,9.39,9.64,124300
JASA,01/14/2002,9.74,9.74,9.4,9.55,54800
JASA,01/15/2002,9.65,9.72,9.5,9.68,20900
JASA,01/16/2002,9.7,9.7,9.55,9.65,26300
